evolve;inf,evolve;3sg,evolves;part,evolving;1sgp,evolved
examine;inf,examine;3sg,examines;part,examining;1sgp,examined
exceed;inf,exceed;3sg,exceeds;part,exceeding;1sgp,exceeded
exchange;inf,exchange;3sg,exchanges;part,exchanging;1sgp,exchanged
exclude;inf,exclude;3sg,excludes;part,excluding;1sgp,excluded
excuse;inf,excuse;3sg,excuses;part,excusing;1sgp,excused
execute;inf,execute;3sg,executes;part,executing;1sgp,executed
exercise;inf,exercise;3sg,exercises;part,exercising;1sgp,exercised
exert;inf,exert;3sg,exerts;part,exerting;1sgp,exerted
exhaust;inf,exhaust;3sg,exhausts;part,exhausting;1sgp,exhausted
exhibit;inf,exhibit;3sg,exhibits;part,exhibiting;1sgp,exhibited
exist;inf,exist;3sg,exists;part,existing;1sgp,existed
expand;inf,expand;3sg,expands;part,expanding;1sgp,expanded
expect;inf,expect;3sg,expects;part,expecting;1sgp,expected
experience;inf,experience;3sg,experiences;part,experiencing;1sgp,experienced
explain;inf,explain;3sg,explains;part,explaining;1sgp,explained
explode;inf,explode;3sg,explodes;part,exploding;1sgp,exploded
exploit;inf,exploit;3sg,exploits;part,exploiting;1sgp,exploited
explore;inf,explore;3sg,explores;part,exploring;1sgp,explored
export;inf,export;3sg,exports;part,exporting;1sgp,exported
expose;inf,expose;3sg,exposes;part,exposing;1sgp,exposed
express;inf,express;3sg,expresses;part,expressing;1sgp,expressed
extend;inf,extend;3sg,extends;part,extending;1sgp,extended
extract;inf,extract;3sg,extracts;part,extracting;1sgp,extracted
face;inf,face;3sg,faces;part,facing;1sgp,faced
facilitate;inf,facilitate;3sg,facilitates;part,facilitating;1sgp,facilitated
fade;inf,fade;3sg,fades;part,fading;1sgp,faded
fail;inf,fail;3sg,fails;part,failing;1sgp,failed
fall;inf,fall;3sg,falls;part,falling;1sgp,fell;ppart,fallen
fancy;inf,fancy;3sg,fancies;part,fancying;1sgp,fancied
favour;inf,favour;3sg,favours;part,favouring;1sgp,favoured
